artist,album,track,uri
Turf,40 Principales Pop & Rock Nacionales,"Yo No Me Quiero Casar, Y Ud?",0Ne5ip8AMjujTrJFheb1jF
Imagine Dragons,Night Visions,Bleeding Out,0RchWnEHETINMAyrTrlBmo
Red Hot Chili Peppers,Californication,Easily,3QJnjJH53Ocg22MaLutrgJ
Coro Pascua Joven San Isidro,Nueva Mañana,Espíritu de Vida,7ypkJ2KTmZ1s0j52Xqgt2A
Niall Horan,Flicker,You And Me,764Q4RKFyJCisAofG4mQiA
Jason Mraz,Love Is a Four Letter Word,93 Million Miles,38jy6kRlPt8z1GUS9WXeNh
Jason Mraz,Know.,More Than Friends (feat. Meghan Trainor),03VNgdCL9t8aPyvwZecglI
Capitan Mr Litro,Sobre la Marcha,Querida Música,25nHi1GP3BT51ISQtt7upT
Coro Pascua Joven San Isidro,Se entregó por mí,Noche hacia la Pascua,3Ai3I60eNYXOvJHFnlHIp4
Noah Kahan,Busyhead,False Confidence,7nDFTHHwfe32a8qdp9XqPy
Louis Tomlinson,Don't Let It Break Your Heart,Don't Let It Break Your Heart - Piano Edit,6BrBNdXZpbZKg6Y3HbLJxX
Queen,Bohemian Rhapsody,Keep Yourself Alive - Live At The Rainbow,34pz8XUZRfw04lk4DPtwa7
Queen,Bohemian Rhapsody,Under Pressure,6suU8oBlW4O2pg88tOXgHo
Coldplay,A Head Full of Dreams,Army of One,4giCxIFPZNQIP4bIZM4sqH
Train,California 37,California 37,6nrdjKxI39FvwMhX5mSLJV
La Beriso,En Vivo en el Estadio Único,Encarcelado - En Vivo en el Estadio Único,3rSuJtQcaaxMWRjcFfwAuM
Simple Plan,Still Not Getting Any,Welcome to My Life,10rChmECwPcvTTj4w07hq4
Jason Mraz,We Sing. We Dance. We Steal Things.,Only Human - From the Casa Nova Sessions,3SilXXlKcKTxdIW1jSAfss
Calle 13,Residente o Visitante,A Limpiar El Sucio,6uXUo1IGfFSLEUZrRbJ2jV
Queen,Bohemian Rhapsody,Another One Bites The Dust,2k1yPYf9WGA4LiqcLVwtzn
Maroon 5,Red Pill Blues,Girls Like You (feat. Cardi B) - Cardi B Version,7fa9MBXhVfQ8P8Df9OEbD8
Justin Bieber,Believe,Believe,6akbXZeXdrWWsG77ZD3cuD
Calle 13,Residente o Visitante,Sin Exagerar (feat. Tego Calderón),60O7AerEvNrB7HMjmp1xan
Imagine Dragons,Night Visions,Working Man,4VyfFe0VmNMnyLBKKfycRq
Ed Sheeran,÷,How Would You Feel (Paean),6PJ8FF6UR8FZXfEvpHkIVN
Cheryl Freeman,Hercules,The Gospel Truth I / Main Titles - Hercules,4elJ1WKoAMO7Zbpv5VtqA4
Jason Mraz,Know.,Might As Well Dance,0yZcjdT4KwNiWrjOAHLHtS
Jason Mraz,YES! (Commentary),It's So Hard to Say Goodbye to Yesterday,6AnfZS1z9zMXDhVe0Bnlpf
Agapornis,Agapornis - Volando Con Ritmo,En El Muelle De San Blas,0Prfy3ubEcwcCZvxoctoFD
Red Hot Chili Peppers,Californication,Get on Top,0GcWf1Cc4ixN35D3O9VdcP
Jason Mraz,We Sing. We Dance. We Steal Things.,If It Kills Me,4b3sAxlH3wN8fdfXERRGWj
La Beriso,En Vivo en el Estadio Único,Lo Olvidó - En Vivo en el Estadio Único,0mB8rlMTpnriZxF92h9tRA
Coldplay,A Head Full of Dreams,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy
LOUTA,QUEREME,QUEREME,0bhWW1Bve1Ng6kEm8WjiQA
