trackName,endTime,artistName,msPlayed,uri
Gusty DJ | Ecko - Session en el Barrio #7,2023-02-07 12:39,Gusty dj,4134673,2ALRaYszX1wDifP6HrcdqS
Gym Quarantine,2023-01-18 08:58,HUGEL,1514,1t9WkESChRAN8T9p3az6Pg
Hacer un puente,2022-09-11 14:52,La Franela,569631,18Q3WTfyWX1tdS1cp42NhA
Half A Man,2022-08-28 03:12,Dean Lewis,2990209,1ugQtcwmKOXvKAYzhjncmv
Hallelujah,2022-09-01 01:00,Noah Kahan,230617,3wWinz94TSPWe6CgTaSK6x
Hands On Me,2022-12-14 00:25,BURNS,1898,2GC8vo2NO9u28G7kBIuP0j
Happier,2023-05-12 10:12,Ed Sheeran,232015,2RttW7RAu5nOAfq6YFvApB
Happiest Year,2022-09-09 22:54,Jaymes Young,239407,5kcvBnt6DPX3AMEsCx1qDh
Hasta Que Dios Diga,2022-08-18 13:44,Anuel AA,4654616,06s3QtMJVXw1AJX3UfvZG1
Hasta la Raíz,2022-09-11 13:22,Natalia Lafourcade,323821,3lGMtkONrZdJ8kTCg6KIFf
Havana (feat. Young Thug),2023-01-13 11:43,Camila Cabello,4864,1rfofaqEpACxVEHIZBJe6W
Havana - Remix,2023-03-24 19:06,Camila Cabello,199095,3whrwq4DtvucphBPUogRuJ
Head Shoulders Knees & Toes (feat. Norma Jean Martine),2023-01-18 08:58,Ofenbach,46442,14ngWWxvUSnIMXgF6rzSk1
Heather,2022-06-28 19:04,Conan Gray,63903,4xqrdfXkTW4T0RauPLv3WA
Heaven,2022-10-06 15:33,Calum Scott,135785,0Hgqglypzt6Qs5Duqskcqs
Hello,2023-01-12 13:24,PRETTYMUCH,1280,13pgP4LlXf849wDkBJDi5h
Here Comes The Sun,2023-05-12 10:23,Abbey Road,10571,4ytiGaEUfAPKSXDSlQ7E1j
Hey There Delilah,2023-05-11 15:11,Plain White T's,1287001,0xM88xobymkMgg46MStfnV
"Hey, Soul Sister",2023-05-15 17:54,Train,122135,0KpfYajJVVGgQ32Dby7e9i
History,2022-09-12 18:00,One Direction,187436,0HMjXBAZmSYOTTi33WpMso
Hitboy,2022-11-01 15:42,Duki,358408,624AL3EwsrgGIp6bdwmXgo
Hola (feat. Maluma),2023-01-13 11:43,Flo Rida,2560,6ayTAnEwP3Yo4DOjLsN5r2
Hold My Girl (Acoustic Version),2022-07-25 14:29,George Ezra,1893894,4VjhuvbfM5yW0qDGvY4aJQ
Hold On,2022-08-28 03:23,Justin Bieber,327403,2tsNw9YCguhTyvERaX8byL
Holy (feat. Chance The Rapper),2022-08-28 03:29,Justin Bieber,212093,5u1n1kITHCxxp8twBcZxWy
Home,2022-09-13 09:55,One Direction,154505,1J6bub4kiTe4h0RCo9IszE
Honest,2022-09-08 23:27,Shawn Mendes,199186,64GT5ReOko7xx6Nc7D8JsS
Hood - Remix,2022-10-09 17:14,Trueno,8474565,3UytZp1xDkNkROyIwE7DbY
Hopeful,2023-03-23 09:57,Bars and Melody,163967,5e5xI216H4iKjTcDdf3QQz
House of Cards,2022-10-09 17:43,Alexander Stewart,1160,58GufL5ouunj41e6QV65bw
How to Save a Life,2022-10-11 17:58,The Fray,11614,5fVZC9GiM4e8vu99W0Xf6J
Hoy Se Chicha,2022-08-19 13:23,Jowell & Randy,29268,4SE7wJ6HNrxGf7RpAVyTwm
Házmelo,2022-06-11 20:36,Tiago PZK,2284756,4uiFw0YvHosZT3qRf1QAvs
I Ain't Worried,2022-08-31 14:55,OneRepublic,3210770,4h9wh7iOZ0GGn8QVp4RAOB
I Don't Care (with Justin Bieber),2022-08-28 03:32,Ed Sheeran & Justin Bieber,1280,3HVWdVOQ0ZA45FuZGSfvns
I GUESS I'M IN LOVE,2023-04-21 16:11,Clinton Kane,408186,1is8gU4RVcN4J8xItxWoOY
I Have Nothing,2023-03-24 19:15,Whitney Houston,289160,31er9IGsfFbwqy1pH4aiTP
I Think I'm In Love,2022-09-08 23:30,Kat Dahlia,67925,3U1TuSqHIubBA10cVP7Sk6
I WANNA SEE SOME ASS (feat. jetsonmade),2022-07-26 03:36,Jack Harlow,922813,2aWVaW1p2kUc5yuKwBmRJi
I Will Always Love You,2023-05-15 17:13,Whitney Houston,918696,4eHbdreAnSOrDDsFfc4Fpm
IDK You Yet,2022-10-14 15:36,Alexander 23,493727,47EWMOElkkbMp5m9SBkx7d
If the World Was Ending (feat. Julia Michaels),2022-09-09 22:34,JP Saxe,528540,2kJwzbxV2ppxnQoYw4GLBZ
In My Blood,2022-10-13 17:24,Shawn Mendes,76650,79jX8RM5CgPqDKdGEKNW9K
In My Head,2022-10-03 23:46,Bedroom,366431,1tT55K6VEyO6XFDxK4lDQe
Indigo,2022-12-13 15:18,Milky Chance,5589,3L6sSWxcWuwHATw4KDhmhA
Inolvidable,2022-07-02 20:50,Ovy On The Drums,2089009,0OTtnwUO8natNWSwdZvXVF
International Love 420,2022-08-22 13:40,L-Gante,20480,7dpXCztbsLVnkLdcskLgKc
Iris,2022-12-09 18:23,The Goo Goo Dolls,7535663,6Qyc6fS4DsZjB2mRW9DsQs
JUNGLE,2022-08-19 14:11,Trueno,11740,3monFIRNCDt9we37DDvCCK
